Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Annual brutto salary (without bonus and stocks) in EUR,Annual bonus + stocks in EUR,Annual Total Salary,One Year ago Brutto Salary,1 Year Ago Bonuses,1 Year Ago Total Salary,Number of vacation days,Company type
30,Male,Berlin,DevOps,9,5,Lead,68000,0,68000,68000,0,68000,26,Product
30,Male,Berlin,Backend Developer,4,2,Middle,42000,0,42000,36000,0,36000,27,Product
30,Male,Munich,Data Scientist,2,2,Middle,74000,0,74000,66000,0,66000,28,Product
30,Male,Berlin,Backend Developer,7,2,Senior,58000,0,58000,55000,0,55000,30,Product
30,Male,Berlin,Frontend Developer,6,1,Senior,60000,0,60000,70000,0,70000,30,Product
30,Male,Berlin,Data Scientist,6,3,Senior,45000,0,45000,39000,0,39000,30,Product
30,Male,Berlin,Software Engineer,10,2,Senior,80000,0,80000,72000,0,72000,30,Product
30,Male,Berlin,Software Engineer,8,3,Senior,95000,0,95000,90000,0,90000,30,Product
30,Male,Berlin,Software Engineer,11,2,Senior,70000,0,70000,65000,0,65000,30,Product
30,Male,Berlin,Software Engineer,6,3,Senior,85000,0,85000,80000,0,80000,30,SaaS
30,Male,Moscow,Software Engineer,5,0,Middle,80000,0,80000,68500,0,68500,28,Startup
30,Male,Berlin,Backend Developer,8,2.5,Senior,83000,0,83000,75000,0,75000,30,Startup
30,Male,Barcelona,Data Scientist,5,0,Senior,68000,3000,71000,68000,0,68000,30,Startup
30,Male,Munich,Software Engineer,10,4,Senior,46000,2000,48000,45000,1800,46800,30,Startup
30,Male,Berlin,Software Engineer,8,2,Senior,159000,35000,194000,98000,23000,121000,45,Startup
30,Male,Ansbach,Software Engineer,4,3,Junior,75000,86000,161000,60000,65000,125000,24,Startup
30,Male,Berlin,Head of BI,7,7,Head,65000,0,65000,65000,65000,130000,22,Startup
30,Male,Berlin,Software Engineer,11,1,Senior,90000,10000,100000,78000,85000,163000,30,Startup
30,Male,Berlin,ML Engineer,6,2,Middle,63000,10300,73300,56500,0,56500,28,Startup
30,Male,Hamburg,Data Scientist,5,4,Head,45000,0,45000,30000,0,30000,20,Startup
30,Male,Munich,Software Engineer,8,1,Senior,62000,0,62000,50000,0,50000,30,Startup
30,Male,Berlin,Frontend Developer,4,2,Senior,52500,0,52500,52500,0,52500,30,Startup
30,Male,Berlin,DevOps,11,2,Senior,54500,0,54500,54500,0,54500,30,Startup
31,Male,Berlin,Engineering Manager,11,6,Lead,74000,21000,95000,70000,0,70000,25,Consulting 
31,Male,Berlin,Data Engineer,4,2,Middle,75000,3000,78000,65000,3000,68000,28,Consulting 
31,Male,Munich,ML Engineer,4,4,Senior,60000,60000,120000,37500,37500,75000,30,Consulting 
